VAR;COUNT
CNTSCHID;1
CNTSTUID;1
CYC;1
AGE;1
W_FSTUWT;1
W_FSTURWT1;1
W_FSTURWT2;1
W_FSTURWT3;1
W_FSTURWT4;1
W_FSTURWT5;1
W_FSTURWT6;1
W_FSTURWT7;1
W_FSTURWT8;1
W_FSTURWT9;1
W_FSTURWT10;1
W_FSTURWT11;1
W_FSTURWT12;1
W_FSTURWT13;1
W_FSTURWT14;1
W_FSTURWT15;1
W_FSTURWT16;1
W_FSTURWT17;1
W_FSTURWT18;1
W_FSTURWT19;1
W_FSTURWT20;1
W_FSTURWT21;1
W_FSTURWT22;1
W_FSTURWT23;1
W_FSTURWT24;1
W_FSTURWT25;1
W_FSTURWT26;1
W_FSTURWT27;1
W_FSTURWT28;1
W_FSTURWT29;1
W_FSTURWT30;1
W_FSTURWT31;1
W_FSTURWT32;1
W_FSTURWT33;1
W_FSTURWT34;1
W_FSTURWT35;1
W_FSTURWT36;1
W_FSTURWT37;1
W_FSTURWT38;1
W_FSTURWT39;1
W_FSTURWT40;1
W_FSTURWT41;1
W_FSTURWT42;1
W_FSTURWT43;1
W_FSTURWT44;1
W_FSTURWT45;1
W_FSTURWT46;1
W_FSTURWT47;1
W_FSTURWT48;1
W_FSTURWT49;1
W_FSTURWT50;1
W_FSTURWT51;1
W_FSTURWT52;1
W_FSTURWT53;1
W_FSTURWT54;1
W_FSTURWT55;1
W_FSTURWT56;1
W_FSTURWT57;1
W_FSTURWT58;1
W_FSTURWT59;1
W_FSTURWT60;1
W_FSTURWT61;1
W_FSTURWT62;1
W_FSTURWT63;1
W_FSTURWT64;1
W_FSTURWT65;1
W_FSTURWT66;1
W_FSTURWT67;1
W_FSTURWT68;1
W_FSTURWT69;1
W_FSTURWT70;1
W_FSTURWT71;1
W_FSTURWT72;1
W_FSTURWT73;1
W_FSTURWT74;1
W_FSTURWT75;1
W_FSTURWT76;1
W_FSTURWT77;1
W_FSTURWT78;1
W_FSTURWT79;1
W_FSTURWT80;1
WVARSTRR;1
PV1MATH;1
PV2MATH;1
PV3MATH;1
PV4MATH;1
PV5MATH;1
PV6MATH;1
PV7MATH;1
PV8MATH;1
PV9MATH;1
PV10MATH;1
PV1READ;1
PV2READ;1
PV3READ;1
PV4READ;1
PV5READ;1
PV6READ;1
PV7READ;1
PV8READ;1
PV9READ;1
PV10READ;1
PV1SCIE;1
PV2SCIE;1
PV3SCIE;1
PV4SCIE;1
PV5SCIE;1
PV6SCIE;1
PV7SCIE;1
PV8SCIE;1
PV9SCIE;1
PV10SCIE;1
PV1MCCR;1
PV2MCCR;1
PV3MCCR;1
PV4MCCR;1
PV5MCCR;1
PV6MCCR;1
PV7MCCR;1
PV8MCCR;1
PV9MCCR;1
PV10MCCR;1
PV1MCQN;1
PV2MCQN;1
PV3MCQN;1
PV4MCQN;1
PV5MCQN;1
PV6MCQN;1
PV7MCQN;1
PV8MCQN;1
PV9MCQN;1
PV10MCQN;1
PV1MCSS;1
PV2MCSS;1
PV3MCSS;1
PV4MCSS;1
PV5MCSS;1
PV6MCSS;1
PV7MCSS;1
PV8MCSS;1
PV9MCSS;1
PV10MCSS;1
PV1MCUD;1
PV2MCUD;1
PV3MCUD;1
PV4MCUD;1
PV5MCUD;1
PV6MCUD;1
PV7MCUD;1
PV8MCUD;1
PV9MCUD;1
PV10MCUD;1
PV1MPEM;1
PV2MPEM;1
PV3MPEM;1
PV4MPEM;1
PV5MPEM;1
PV6MPEM;1
PV7MPEM;1
PV8MPEM;1
PV9MPEM;1
PV10MPEM;1
PV1MPFS;1
PV2MPFS;1
PV3MPFS;1
PV4MPFS;1
PV5MPFS;1
PV6MPFS;1
PV7MPFS;1
PV8MPFS;1
PV9MPFS;1
PV10MPFS;1
PV1MPIN;1
PV2MPIN;1
PV3MPIN;1
PV4MPIN;1
PV5MPIN;1
PV6MPIN;1
PV7MPIN;1
PV8MPIN;1
PV9MPIN;1
PV10MPIN;1
PV1MPRE;1
PV2MPRE;1
PV3MPRE;1
PV4MPRE;1
PV5MPRE;1
PV6MPRE;1
PV7MPRE;1
PV8MPRE;1
PV9MPRE;1
PV10MPRE;1
SENWT;1
VER_DAT;1
OECD;3
ADMINMODE;3
Option_CT;3
Option_FL;3
Option_ICTQ;3
Option_WBQ;3
Option_PQ;3
Option_TQ;3
Option_UH;3
UNIT;4
ST326Q07JA;6
ST326Q08JA;6
ST326Q09JA;6
ST326Q10JA;6
ST326Q11JA;6
ST326Q12JA;6
ST016Q01NA;6
ST059Q01TA;6
ST059Q02JA;6
WB151Q01HA;6
WB152Q01HA;6
WB156Q01HA;6
GRADE;6
BSMJ;6
RELATST;6
BELONG;6
BULLIED;6
FEELSAFE;6
SCHRISK;6
PERSEVAGR;6
CURIOAGR;6
COOPAGR;6
EMPATAGR;6
ASSERAGR;6
STRESAGR;6
EMOCOAGR;6
GROSAGR;6
INFOSEEK;6
FAMSUP;6
DISCLIM;6
TEACHSUP;6
COGACRCO;6
COGACMCO;6
EXPOFA;6
EXPO21ST;6
MATHEFF;6
MATHEF21;6
FAMCON;6
ANXMAT;6
MATHPERS;6
CREATEFF;6
CREATSCH;6
CREATFAM;6
CREATAS;6
CREATOOS;6
CREATOP;6
OPENART;6
IMAGINE;6
SCHSUST;6
LEARRES;6
PROBSELF;6
FAMSUPSL;6
FEELLAH;6
SDLEFF;6
PAREDINT;6
BMMJ1;6
BFMJ2;6
HISEI;6
ICTRES;6
HOMEPOS;6
ESCS;6
FLSCHOOL;6
FLMULTSB;6
FLFAMILY;6
ACCESSFP;6
FLCONFIN;6
FLCONICT;6
ACCESSFA;6
ATTCONFM;6
FRINFLFM;6
ICTSCH;6
ICTHOME;6
ICTQUAL;6
ICTSUBJ;6
ICTENQ;6
ICTFEED;6
ICTOUT;6
ICTWKDY;6
ICTWKEND;6
ICTREG;6
ICTINFO;6
ICTDISTR;6
ICTEFFIC;6
STUBMI;6
BODYIMA;6
SOCONPA;6
LIFESAT;6
PSYCHSYM;6
SOCCON;6
EXPWB;6
CURSUPP;6
PQMIMP;6
PQMCAR;6
PARINVOL;6
PQSCHOOL;6
PASCHPOL;6
ATTIMMP;6
CREATHME;6
CREATACT;6
CREATOPN;6
CREATOR;6
ST004D01T;8
ST250Q01JA;8
ST250Q02JA;8
ST250Q03JA;8
ST250Q04JA;8
ST250Q05JA;8
ST006Q01JA;8
ST006Q02JA;8
ST006Q03JA;8
ST006Q04JA;8
ST006Q05JA;8
ST008Q01JA;8
ST008Q02JA;8
ST008Q03JA;8
ST008Q04JA;8
ST008Q05JA;8
ST022Q01TA;8
ST261Q01JA;8
ST261Q02JA;8
ST261Q03JA;8
ST261Q04JA;8
ST261Q05JA;8
ST261Q06JA;8
ST261Q07JA;8
ST261Q08JA;8
ST261Q09JA;8
ST261Q10JA;8
ST261Q11JA;8
