variable,encoding
CNTSCHID,numerical
CNTSTUID,numerical
AGE,numerical
W_FSTUWT,numerical
W_FSTURWT1,numerical
W_FSTURWT2,numerical
W_FSTURWT3,numerical
W_FSTURWT4,numerical
W_FSTURWT5,numerical
W_FSTURWT6,numerical
W_FSTURWT7,numerical
W_FSTURWT8,numerical
W_FSTURWT9,numerical
W_FSTURWT10,numerical
W_FSTURWT11,numerical
W_FSTURWT12,numerical
W_FSTURWT13,numerical
W_FSTURWT14,numerical
W_FSTURWT15,numerical
W_FSTURWT16,numerical
W_FSTURWT17,numerical
W_FSTURWT18,numerical
W_FSTURWT19,numerical
W_FSTURWT20,numerical
W_FSTURWT21,numerical
W_FSTURWT22,numerical
W_FSTURWT23,numerical
W_FSTURWT24,numerical
W_FSTURWT25,numerical
W_FSTURWT26,numerical
W_FSTURWT27,numerical
W_FSTURWT28,numerical
W_FSTURWT29,numerical
W_FSTURWT30,numerical
W_FSTURWT31,numerical
W_FSTURWT32,numerical
W_FSTURWT33,numerical
W_FSTURWT34,numerical
W_FSTURWT35,numerical
W_FSTURWT36,numerical
W_FSTURWT37,numerical
W_FSTURWT38,numerical
W_FSTURWT39,numerical
W_FSTURWT40,numerical
W_FSTURWT41,numerical
W_FSTURWT42,numerical
W_FSTURWT43,numerical
W_FSTURWT44,numerical
W_FSTURWT45,numerical
W_FSTURWT46,numerical
W_FSTURWT47,numerical
W_FSTURWT48,numerical
W_FSTURWT49,numerical
W_FSTURWT50,numerical
W_FSTURWT51,numerical
W_FSTURWT52,numerical
W_FSTURWT53,numerical
W_FSTURWT54,numerical
W_FSTURWT55,numerical
W_FSTURWT56,numerical
W_FSTURWT57,numerical
W_FSTURWT58,numerical
W_FSTURWT59,numerical
W_FSTURWT60,numerical
W_FSTURWT61,numerical
W_FSTURWT62,numerical
W_FSTURWT63,numerical
W_FSTURWT64,numerical
W_FSTURWT65,numerical
W_FSTURWT66,numerical
W_FSTURWT67,numerical
W_FSTURWT68,numerical
W_FSTURWT69,numerical
W_FSTURWT70,numerical
W_FSTURWT71,numerical
W_FSTURWT72,numerical
W_FSTURWT73,numerical
W_FSTURWT74,numerical
W_FSTURWT75,numerical
W_FSTURWT76,numerical
W_FSTURWT77,numerical
W_FSTURWT78,numerical
W_FSTURWT79,numerical
W_FSTURWT80,numerical
WVARSTRR,numerical
SENWT,numerical
VER_DAT,frequency
OECD,one-hot
ADMINMODE,one-hot
Option_CT,one-hot
Option_FL,one-hot
Option_ICTQ,one-hot
Option_WBQ,one-hot
Option_PQ,one-hot
Option_TQ,one-hot
Option_UH,one-hot
UNIT,one-hot
ST001D01T,one-hot
LANGTEST_COG,frequency
CNT,frequency
CNTRYID,frequency
NatCen,frequency
SUBNATIO,frequency
BOOKID,frequency
ST250D07JA,frequency
ST250D06JA,frequency
ST330D10WA,frequency
REGION,frequency
ST251D09JA,frequency
ST251D08JA,frequency
COBN_S,frequency
COBN_M,frequency
COBN_F,frequency
LANGN,frequency
OCOD1,frequency
OCOD2,frequency
OCOD3,frequency
PROGN,frequency
STRATUM,frequency
